epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,540.738,1.42776,3.33303,1.60274,0.4469,0.61224,0.52336,0.34126,1.14331,2.97861,1.38826,0.000221465,0.000221465,0.000221465
2,1110.72,1.34819,2.26399,1.51999,0.6521,0.82267,0.81508,0.53928,1.28514,2.09706,1.45551,0.000429153,0.000429153,0.000429153
3,1696.89,1.35026,1.91582,1.48826,0.7313,0.8467,0.86192,0.61484,1.17456,1.84797,1.41297,0.000622167,0.000622167,0.000622167
4,2408.85,1.31439,1.71749,1.47507,0.86036,0.91002,0.91357,0.65101,1.27926,1.59109,1.41519,0.000600967,0.000600967,0.000600967
5,2992.79,1.29491,1.55249,1.45153,0.816,0.87653,0.90797,0.65382,1.10008,1.29504,1.30249,0.000578956,0.000578956,0.000578956
6,3528.74,1.24207,1.41653,1.39723,0.8866,0.94514,0.94755,0.68777,1.11636,1.21395,1.28098,0.000556945,0.000556945,0.000556945
7,4058.01,1.24909,1.33378,1.40788,0.89964,0.89734,0.94108,0.67315,1.0915,1.09568,1.2678,0.000534934,0.000534934,0.000534934
8,4593.4,1.21792,1.24097,1.37821,0.90932,0.89172,0.95629,0.70634,1.0262,0.99248,1.22784,0.000512923,0.000512923,0.000512923
9,5132.77,1.22444,1.19195,1.3873,0.91633,0.92647,0.95688,0.74218,0.87388,0.93249,1.17724,0.000490912,0.000490912,0.000490912
10,5662.71,1.16578,1.14922,1.34511,0.90948,0.91137,0.9567,0.69687,1.16258,0.98471,1.31425,0.000468901,0.000468901,0.000468901
11,6191.69,1.17561,1.0845,1.34439,0.93557,0.93608,0.96294,0.70992,1.04723,0.81214,1.24628,0.00044689,0.00044689,0.00044689
12,6720.9,1.15324,1.05152,1.32552,0.96395,0.94432,0.97585,0.74109,0.95735,0.74685,1.1819,0.000424879,0.000424879,0.000424879
13,7247,1.12201,0.99731,1.3179,0.95613,0.94312,0.96263,0.73814,1.01165,0.79457,1.22385,0.000402868,0.000402868,0.000402868
14,7774.92,1.11581,0.94487,1.30909,0.92997,0.94915,0.96424,0.70058,1.12436,0.78506,1.25156,0.000380857,0.000380857,0.000380857
15,8304.22,1.11019,0.92732,1.30452,0.95423,0.94152,0.9679,0.74836,0.96815,0.70734,1.18018,0.000358846,0.000358846,0.000358846
16,8827.4,1.09811,0.92683,1.29185,0.96438,0.95909,0.97802,0.73559,1.07154,0.69016,1.26442,0.000336835,0.000336835,0.000336835
17,9434.18,1.05716,0.87712,1.27145,0.95015,0.95079,0.98075,0.74758,0.96999,0.67338,1.18785,0.000314824,0.000314824,0.000314824
18,10180.6,1.05254,0.86521,1.26914,0.9643,0.96053,0.97105,0.75221,0.88856,0.69452,1.14523,0.000292813,0.000292813,0.000292813
19,10929.6,1.03022,0.82717,1.25167,0.9559,0.95548,0.97559,0.75005,0.9367,0.64116,1.15712,0.000270802,0.000270802,0.000270802
20,11449.6,1.03996,0.83526,1.2531,0.96097,0.96544,0.97803,0.7663,0.97877,0.62943,1.2086,0.000248791,0.000248791,0.000248791
21,11979.6,0.96232,0.67644,1.28112,0.95471,0.94881,0.97747,0.73932,0.95069,0.65018,1.14665,0.00022678,0.00022678,0.00022678
22,12510.2,0.92317,0.6362,1.25132,0.96837,0.95344,0.97633,0.76971,0.88902,0.59343,1.13227,0.000204769,0.000204769,0.000204769
23,13058.1,0.90038,0.59996,1.21635,0.97425,0.96638,0.97902,0.76008,0.96924,0.57885,1.23517,0.000182758,0.000182758,0.000182758
24,13588.2,0.88607,0.59104,1.22076,0.95603,0.95289,0.97715,0.76547,0.93515,0.57221,1.15638,0.000160747,0.000160747,0.000160747
25,14111.6,0.86008,0.56491,1.20179,0.9619,0.96406,0.97515,0.75597,0.9339,0.56947,1.17772,0.000138736,0.000138736,0.000138736
26,14753.8,0.83526,0.54817,1.19008,0.96936,0.96476,0.9769,0.76452,0.9184,0.53872,1.17438,0.000116725,0.000116725,0.000116725
27,15466,0.81819,0.53684,1.17519,0.97034,0.96659,0.97506,0.77173,0.95366,0.54512,1.22567,9.4714e-05,9.4714e-05,9.4714e-05
28,16065.2,0.80375,0.51993,1.16467,0.98206,0.9697,0.97201,0.76692,0.93649,0.53584,1.21799,7.2703e-05,7.2703e-05,7.2703e-05
29,16650.9,0.78885,0.51444,1.14867,0.96962,0.9681,0.97485,0.76909,0.91193,0.53681,1.19251,5.0692e-05,5.0692e-05,5.0692e-05
30,17220.6,0.77362,0.51486,1.14426,0.97737,0.96752,0.9783,0.77976,0.89448,0.52406,1.18014,2.8681e-05,2.8681e-05,2.8681e-05
